year,month,date,CO2,interpolatedCO2,trend,dataDays
1977,10,1977.7920,331.21,331.21,334.43,30
1977,11,1977.8750,332.35,332.35,334.59,28
1977,12,1977.9580,333.47,333.47,334.48,31
1978,1,1978.0420,335.10,335.10,335.11,26
1978,2,1978.1250,335.26,335.26,334.58,28
1978,3,1978.2080,336.61,336.61,334.95,30
1978,4,1978.2920,337.77,337.77,335.11,28
1978,5,1978.3750,338.01,338.01,335.05,30
1978,6,1978.4580,337.98,337.98,335.60,27
1978,7,1978.5420,336.48,336.48,335.68,31
1978,8,1978.6250,334.37,334.37,335.88,31
1978,9,1978.7080,332.33,332.33,335.49,24
1978,10,1978.7920,332.41,332.41,335.66,31
1978,11,1978.8750,333.76,333.76,336.01,28
1978,12,1978.9580,334.83,334.83,335.79,31
1979,1,1979.0420,336.21,336.21,336.23,31
1979,2,1979.1250,336.65,336.65,335.94,27
1979,3,1979.2080,338.13,338.13,336.40,29
1979,4,1979.2920,338.94,338.94,336.21,24
1979,5,1979.3750,339.00,339.00,336.01,20
1979,6,1979.4580,339.20,339.20,336.79,30
1979,7,1979.5420,337.60,337.60,336.78,29
1979,8,1979.6250,335.56,335.56,337.10,29
1979,9,1979.7080,333.93,333.93,337.17,26
1979,10,1979.7920,334.12,334.12,337.44,28
1979,11,1979.8750,335.26,335.26,337.54,30
1979,12,1979.9580,336.78,336.78,337.76,24
1980,1,1980.0420,337.80,337.80,337.95,30
1980,2,1980.1250,338.28,338.28,337.73,28
1980,3,1980.2080,340.04,340.04,338.43,31
1980,4,1980.2920,340.86,340.86,338.20,30
1980,5,1980.3750,341.47,341.47,338.45,31
1980,6,1980.4580,341.26,341.26,338.79,30
1980,7,1980.5420,339.34,339.34,338.48,26
1980,8,1980.6250,337.45,337.45,338.92,24
1980,9,1980.7080,336.10,336.10,339.27,26
1980,10,1980.7920,336.05,336.05,339.32,29
1980,11,1980.8750,337.21,337.21,339.38,27
1980,12,1980.9580,338.29,338.29,339.23,27
1981,1,1981.0420,339.36,339.36,339.41,31
1981,2,1981.1250,340.51,340.51,339.89,28
1981,3,1981.2080,341.57,341.57,339.98,31
1981,4,1981.2920,342.56,342.56,339.93,30
1981,5,1981.3750,343.01,343.01,339.98,31
1981,6,1981.4580,342.49,342.49,340.02,28
1981,7,1981.5420,340.68,340.68,339.81,31
1981,8,1981.6250,338.49,338.49,339.97,28
1981,9,1981.7080,336.92,336.92,340.17,30
1981,10,1981.7920,337.12,337.12,340.44,31
1981,11,1981.8750,338.59,338.59,340.76,30
1981,12,1981.9580,339.90,339.90,340.81,28
1982,1,1982.0420,340.92,340.92,341.03,30
1982,2,1982.1250,341.69,341.69,341.05,27
1982,3,1982.2080,342.85,342.85,341.21,21
1982,4,1982.2920,343.92,343.92,341.31,9
1982,5,1982.3750,344.67,344.67,341.63,31
1982,6,1982.4580,343.78,343.78,341.33,29
1982,7,1982.5420,342.23,342.23,341.45,28
1982,8,1982.6250,340.11,340.11,341.61,27
1982,9,1982.7080,338.32,338.32,341.53,26
1982,10,1982.7920,338.39,338.39,341.72,30
1982,11,1982.8750,339.48,339.48,341.62,28
1982,12,1982.9580,340.88,340.88,341.77,31
1983,1,1983.0420,341.64,341.64,341.79,31
1983,2,1983.1250,342.87,342.87,342.30,27
1983,3,1983.2080,343.59,343.59,342.04,30
1983,4,1983.2920,345.25,345.25,342.63,26
1983,5,1983.3750,345.96,345.96,342.80,29
1983,6,1983.4580,345.52,345.52,343.03,25
1983,7,1983.5420,344.15,344.15,343.42,30
1983,8,1983.6250,342.25,342.25,343.72,28
1983,9,1983.7080,340.17,340.17,343.34,27
1983,10,1983.7920,340.30,340.30,343.63,31
1983,11,1983.8750,341.53,341.53,343.66,29
1983,12,1983.9580,343.07,343.07,343.97,26
1984,1,1984.0420,344.05,344.05,344.15,31
1984,2,1984.1250,344.77,344.77,344.21,29
1984,3,1984.2080,345.46,345.46,344.00,23
1984,4,1984.2920,-99.99,346.77,344.17,2
1984,5,1984.3750,347.55,347.55,344.35,27
1984,6,1984.4580,346.98,346.98,344.50,25
1984,7,1984.5420,345.55,345.55,344.82,29
1984,8,1984.6250,343.20,343.20,344.67,24
1984,9,1984.7080,341.35,341.35,344.54,27
1984,10,1984.7920,341.68,341.68,344.99,28
1984,11,1984.8750,343.06,343.06,345.16,28
1984,12,1984.9580,344.54,344.54,345.42,28
1985,1,1985.0420,345.25,345.25,345.35,29
1985,2,1985.1250,346.06,346.06,345.51,26
1985,3,1985.2080,347.66,347.66,346.27,28
1985,4,1985.2920,348.20,348.20,345.64,27
1985,5,1985.3750,348.92,348.92,345.75,31
1985,6,1985.4580,348.40,348.40,345.94,30
1985,7,1985.5420,346.65,346.65,345.86,28
1985,8,1985.6250,344.85,344.85,346.22,27
1985,9,1985.7080,343.20,343.20,346.32,27
1985,10,1985.7920,343.08,343.08,346.36,27
1985,11,1985.8750,344.40,344.40,346.53,29
1985,12,1985.9580,345.82,345.82,346.75,29
1986,1,1986.0420,346.54,346.54,346.56,26
1986,2,1986.1250,347.13,347.13,346.59,26
1986,3,1986.2080,348.05,348.05,346.71,31
1986,4,1986.2920,349.77,349.77,347.21,30
1986,5,1986.3750,350.53,350.53,347.39,30
1986,6,1986.4580,349.90,349.90,347.47,24
1986,7,1986.5420,348.11,348.11,347.30,26
1986,8,1986.6250,346.09,346.09,347.49,29
1986,9,1986.7080,345.01,345.01,348.16,25
1986,10,1986.7920,344.47,344.47,347.71,30
1986,11,1986.8750,345.86,345.86,347.99,30
1986,12,1986.9580,347.15,347.15,348.06,30
1987,1,1987.0420,348.38,348.38,348.31,30
1987,2,1987.1250,348.70,348.70,348.01,28
1987,3,1987.2080,349.72,349.72,348.31,27
1987,4,1987.2920,351.32,351.32,348.77,30
1987,5,1987.3750,352.14,352.14,349.03,31
1987,6,1987.4580,351.61,351.61,349.23,29
1987,7,1987.5420,349.91,349.91,349.20,28
1987,8,1987.6250,347.84,347.84,349.34,27
1987,9,1987.7080,346.52,346.52,349.71,29
1987,10,1987.7920,346.65,346.65,349.88,30
1987,11,1987.8750,347.96,347.96,350.07,27
1987,12,1987.9580,349.18,349.18,350.07,30
1988,1,1988.0420,350.38,350.38,350.36,29
1988,2,1988.1250,351.68,351.68,351.01,27
1988,3,1988.2080,352.24,352.24,350.76,30
1988,4,1988.2920,353.66,353.66,351.00,30
1988,5,1988.3750,354.18,354.18,350.99,31
1988,6,1988.4580,353.68,353.68,351.30,29
1988,7,1988.5420,352.58,352.58,351.94,30
1988,8,1988.6250,350.66,350.66,352.19,27
1988,9,1988.7080,349.03,349.03,352.22,29
1988,10,1988.7920,349.08,349.08,352.34,31
1988,11,1988.8750,350.15,350.15,352.29,27
1988,12,1988.9580,351.44,351.44,352.36,30
1989,1,1989.0420,352.89,352.89,352.83,31
1989,2,1989.1250,353.24,353.24,352.55,28
1989,3,1989.2080,353.80,353.80,352.36,30
1989,4,1989.2920,355.59,355.59,352.93,30
1989,5,1989.3750,355.89,355.89,352.65,31
1989,6,1989.4580,355.30,355.30,352.88,30
1989,7,1989.5420,353.98,353.98,353.33,31
1989,8,1989.6250,351.53,351.53,353.11,29
1989,9,1989.7080,350.02,350.02,353.27,28
1989,10,1989.7920,350.29,350.29,353.53,30
1989,11,1989.8750,351.44,351.44,353.60,30
1989,12,1989.9580,352.84,352.84,353.78,28
1990,1,1990.0420,353.79,353.79,353.74,30
1990,2,1990.1250,354.88,354.88,354.20,28
1990,3,1990.2080,355.65,355.65,354.21,31
1990,4,1990.2920,356.28,356.28,353.66,29
1990,5,1990.3750,357.29,357.29,354.10,30
1990,6,1990.4580,356.32,356.32,353.92,30
1990,7,1990.5420,354.88,354.88,354.27,29
1990,8,1990.6250,352.89,352.89,354.51,30
1990,9,1990.7080,351.28,351.28,354.53,27
1990,10,1990.7920,351.59,351.59,354.81,31
1990,11,1990.8750,353.05,353.05,355.10,29
1990,12,1990.9580,354.27,354.27,355.12,30
1991,1,1991.0420,354.87,354.87,354.85,29
1991,2,1991.1250,355.68,355.68,355.01,28
1991,3,1991.2080,357.06,357.06,355.57,27
1991,4,1991.2920,358.51,358.51,355.88,30
1991,5,1991.3750,359.09,359.09,355.94,31
1991,6,1991.4580,358.10,358.10,355.75,30
1991,7,1991.5420,356.12,356.12,355.51,29
1991,8,1991.6250,353.89,353.89,355.50,31
1991,9,1991.7080,352.30,352.30,355.58,30
1991,10,1991.7920,352.32,352.32,355.55,31
1991,11,1991.8750,353.79,353.79,355.78,30
1991,12,1991.9580,355.07,355.07,355.89,31
1992,1,1992.0420,356.17,356.17,356.12,30
1992,2,1992.1250,356.93,356.93,356.23,29
1992,3,1992.2080,357.82,357.82,356.28,29
1992,4,1992.2920,359.00,359.00,356.30,30
1992,5,1992.3750,359.55,359.55,356.33,31
1992,6,1992.4580,359.32,359.32,356.92,30
1992,7,1992.5420,356.85,356.85,356.27,30
1992,8,1992.6250,354.91,354.91,356.61,30
1992,9,1992.7080,352.93,352.93,356.27,29
1992,10,1992.7920,353.31,353.31,356.57,30
1992,11,1992.8750,354.27,354.27,356.32,30
1992,12,1992.9580,355.53,355.53,356.37,31
1993,1,1993.0420,356.86,356.86,356.84,28
1993,2,1993.1250,357.27,357.27,356.43,28
1993,3,1993.2080,358.36,358.36,356.70,31
1993,4,1993.2920,359.27,359.27,356.60,30
1993,5,1993.3750,360.19,360.19,357.00,31
1993,6,1993.4580,359.52,359.52,357.09,30
1993,7,1993.5420,357.42,357.42,356.83,27
1993,8,1993.6250,355.46,355.46,357.14,28
1993,9,1993.7080,354.10,354.10,357.45,26
1993,10,1993.7920,354.12,354.12,357.46,30
1993,11,1993.8750,355.40,355.40,357.53,30
1993,12,1993.9580,356.84,356.84,357.76,31
1994,1,1994.0420,358.22,358.22,358.13,27
1994,2,1994.1250,358.98,358.98,358.15,27
1994,3,1994.2080,359.91,359.91,358.25,30
1994,4,1994.2920,361.32,361.32,358.57,30
1994,5,1994.3750,361.68,361.68,358.44,30
1994,6,1994.4580,360.80,360.80,358.39,30
1994,7,1994.5420,359.39,359.39,358.79,31
1994,8,1994.6250,357.42,357.42,359.12,31
1994,9,1994.7080,355.63,355.63,359.05,30
1994,10,1994.7920,356.09,356.09,359.50,31
1994,11,1994.8750,357.56,357.56,359.72,30
1994,12,1994.9580,358.87,358.87,359.75,31
1995,1,1995.0420,359.87,359.87,359.76,31
1995,2,1995.1250,360.79,360.79,359.98,28
1995,3,1995.2080,361.77,361.77,360.19,30
1995,4,1995.2920,363.23,363.23,360.56,30
1995,5,1995.3750,363.77,363.77,360.61,29
1995,6,1995.4580,363.22,363.22,360.82,30
1995,7,1995.5420,361.70,361.70,361.03,31
1995,8,1995.6250,359.11,359.11,360.74,30
1995,9,1995.7080,358.11,358.11,361.48,30
1995,10,1995.7920,357.97,357.97,361.34,31
1995,11,1995.8750,359.40,359.40,361.54,30
1995,12,1995.9580,360.61,360.61,361.49,30
1996,1,1996.0420,362.04,362.04,361.84,31
1996,2,1996.1250,363.17,363.17,362.29,29
1996,3,1996.2080,364.17,364.17,362.55,31
1996,4,1996.2920,364.51,364.51,361.81,29
1996,5,1996.3750,365.16,365.16,362.10,31
1996,6,1996.4580,364.93,364.93,362.64,30
1996,7,1996.5420,363.53,363.53,362.83,31
1996,8,1996.6250,361.38,361.38,362.99,30
1996,9,1996.7080,359.60,359.60,363.03,28
1996,10,1996.7920,359.54,359.54,362.91,31
1996,11,1996.8750,360.84,360.84,362.99,30
1996,12,1996.9580,362.18,362.18,363.05,31
1997,1,1997.0420,363.04,363.04,362.85,31
1997,2,1997.1250,364.09,364.09,363.28,28
1997,3,1997.2080,364.47,364.47,362.86,31
1997,4,1997.2920,366.25,366.25,363.59,29
1997,5,1997.3750,366.69,366.69,363.76,30
1997,6,1997.4580,365.59,365.59,363.39,28
1997,7,1997.5420,364.34,364.34,363.63,26
1997,8,1997.6250,362.20,362.20,363.78,27
1997,9,1997.7080,360.31,360.31,363.69,29
1997,10,1997.7920,360.71,360.71,364.01,31
1997,11,1997.8750,362.44,362.44,364.51,29
1997,12,1997.9580,364.33,364.33,365.12,31
1998,1,1998.0420,365.18,365.18,365.01,30
1998,2,1998.1250,365.98,365.98,365.18,27
1998,3,1998.2080,367.13,367.13,365.50,31
1998,4,1998.2920,368.61,368.61,366.00,30
1998,5,1998.3750,369.49,369.49,366.60,30
1998,6,1998.4580,368.95,368.95,366.73,30
1998,7,1998.5420,367.74,367.74,367.05,30
1998,8,1998.6250,365.79,365.79,367.37,31
1998,9,1998.7080,364.01,364.01,367.34,29
1998,10,1998.7920,364.35,364.35,367.63,31
1998,11,1998.8750,365.52,365.52,367.58,23
1998,12,1998.9580,367.08,367.08,367.85,26
1999,1,1999.0420,368.12,368.12,367.92,27
1999,2,1999.1250,368.98,368.98,368.18,23
1999,3,1999.2080,369.60,369.60,368.00,25
1999,4,1999.2920,370.96,370.96,368.44,30
1999,5,1999.3750,370.77,370.77,367.95,30
1999,6,1999.4580,370.33,370.33,368.14,30
1999,7,1999.5420,369.28,369.28,368.60,30
1999,8,1999.6250,366.86,366.86,368.42,30
1999,9,1999.7080,364.94,364.94,368.24,28
1999,10,1999.7920,365.35,365.35,368.62,31
1999,11,1999.8750,366.68,366.68,368.68,29
1999,12,1999.9580,368.04,368.04,368.72,29
2000,1,2000.0420,369.25,369.25,369.06,27
2000,2,2000.1250,369.50,369.50,368.79,23
2000,3,2000.2080,370.56,370.56,369.04,31
2000,4,2000.2920,371.82,371.82,369.29,29
2000,5,2000.3750,371.51,371.51,368.64,29
2000,6,2000.4580,371.71,371.71,369.49,29
2000,7,2000.5420,369.85,369.85,369.18,28
2000,8,2000.6250,368.20,368.20,369.78,28
2000,9,2000.7080,366.91,366.91,370.19,30
2000,10,2000.7920,366.99,366.99,370.22,31
2000,11,2000.8750,368.33,368.33,370.29,25
2000,12,2000.9580,369.67,369.67,370.31,30
2001,1,2001.0420,370.52,370.52,370.36,29
2001,2,2001.1250,371.49,371.49,370.77,28
2001,3,2001.2080,372.53,372.53,370.97,29
2001,4,2001.2920,373.37,373.37,370.79,30
2001,5,2001.3750,373.82,373.82,370.92,25
2001,6,2001.4580,373.18,373.18,370.97,28
2001,7,2001.5420,371.57,371.57,370.94,30
2001,8,2001.6250,369.63,369.63,371.21,30
2001,9,2001.7080,368.16,368.16,371.41,30
2001,10,2001.7920,368.42,368.42,371.65,31
2001,11,2001.8750,369.69,369.69,371.70,27
2001,12,2001.9580,371.18,371.18,371.89,31
2002,1,2002.0420,372.45,372.45,372.23,29
2002,2,2002.1250,373.14,373.14,372.26,27
2002,3,2002.2080,373.93,373.93,372.22,27
2002,4,2002.2920,375.00,375.00,372.33,30
2002,5,2002.3750,375.65,375.65,372.74,31
2002,6,2002.4580,375.50,375.50,373.29,30
2002,7,2002.5420,374.00,374.00,373.36,31
2002,8,2002.6250,371.83,371.83,373.47,31
2002,9,2002.7080,370.66,370.66,374.01,29
2002,10,2002.7920,370.51,370.51,373.84,31
2002,11,2002.8750,372.20,372.20,374.33,30
2002,12,2002.9580,373.71,373.71,374.50,30
2003,1,2003.0420,374.87,374.87,374.63,31
2003,2,2003.1250,375.62,375.62,374.75,27
2003,3,2003.2080,376.48,376.48,374.79,31
2003,4,2003.2920,377.74,377.74,375.02,27
2003,5,2003.3750,378.50,378.50,375.47,31
2003,6,2003.4580,378.18,378.18,375.95,29
2003,7,2003.5420,376.72,376.72,376.16,28
2003,8,2003.6250,374.31,374.31,375.98,26
2003,9,2003.7080,373.20,373.20,376.51,28
2003,10,2003.7920,373.10,373.10,376.45,30
2003,11,2003.8750,374.64,374.64,376.83,25
2003,12,2003.9580,375.93,375.93,376.74,30
2004,1,2004.0420,377.00,377.00,376.79,31
2004,2,2004.1250,377.87,377.87,377.01,27
2004,3,2004.2080,378.73,378.73,377.06,30
2004,4,2004.2920,380.41,380.41,377.65,29
2004,5,2004.3750,380.63,380.63,377.51,28
2004,6,2004.4580,379.56,379.56,377.28,26
2004,7,2004.5420,377.61,377.61,377.03,28
2004,8,2004.6250,376.15,376.15,377.85,19
2004,9,2004.7080,374.11,374.11,377.49,16
